question,answer
How do I configure an Application Load Balancer for Amazon ECS?,"Create or choose a VPC, subnets, security groups, target group, and listener for the Application Load Balancer. Configure the ECS service to use the target group, map the container name and port, and make sure health checks and security group rules allow traffic from the load balancer to the tasks."
What permissions does an AWS Lambda function need to read objects from Amazon S3?,"The Lambda execution role needs S3 read permissions for the bucket and objects, typically s3:GetObject for object reads and optionally s3:ListBucket if the function lists keys. The bucket policy and any KMS key policy must also allow the role when applicable."
How can I troubleshoot throttling errors in Amazon DynamoDB?,"Check CloudWatch metrics for consumed read and write capacity, throttled requests, and hot partitions. Review table or index capacity settings, access patterns, and retry behavior, then consider on-demand capacity, autoscaling, better partition keys, batching, or exponential backoff."
What are the steps to deploy a model to an Amazon SageMaker endpoint?,"Create or choose a trained model artifact, create a SageMaker model with the container image and model data, create an endpoint configuration with instance settings, and create or update an endpoint. Then invoke the endpoint and monitor logs and metrics."
How do I create an Amazon VPC with public and private subnets?,"Create a VPC CIDR block, add subnets in one or more Availability Zones, attach an internet gateway for public subnets, and create route tables. Public subnets route internet traffic to the internet gateway, while private subnets usually route outbound traffic through a NAT gateway."
What is the difference between an IAM role and an IAM user?,"An IAM user represents a long-term identity with credentials for a person or workload. An IAM role is assumed temporarily by trusted users, services, or accounts and provides temporary security credentials based on its permissions policy."
How can I enable detailed monitoring for an Amazon EC2 instance?,"Enable detailed monitoring on the EC2 instance so CloudWatch receives metrics at one-minute intervals instead of basic monitoring intervals. This can be enabled when launching the instance or modified afterward from the EC2 console, CLI, or API."
How do I configure CloudWatch alarms for high CPU utilization?,"Create a CloudWatch alarm on the relevant CPUUtilization metric, choose the namespace and resource dimension, set the threshold and evaluation periods, and configure alarm actions such as SNS notifications, Auto Scaling actions, or other integrations."
What security group rules are needed for an Amazon RDS database?,"Allow inbound traffic only from trusted sources such as an application security group, bastion host, or specific CIDR ranges on the database port. Keep outbound rules minimal as needed and avoid public access unless there is a controlled requirement."
How do I set up lifecycle rules for objects in an S3 bucket?,"Create an S3 lifecycle configuration on the bucket with rules that match prefixes, tags, or object versions. Configure transitions to other storage classes, expiration, incomplete multipart upload cleanup, or noncurrent version expiration as needed."
How can I use AWS CloudFormation to update an existing stack?,"Modify the CloudFormation template or parameters, create a change set if you want to preview changes, then update the stack. CloudFormation compares the new configuration to the current stack and applies the required resource changes."
What are common causes of unhealthy targets in an Elastic Load Balancer target group?,"Common causes include failed health check paths, wrong ports, security groups blocking traffic, network ACL issues, application errors, slow responses, mismatched protocols, or targets not listening on the configured health check port."
How do I configure task autoscaling for an Amazon ECS service?,"Register the ECS service as a scalable target with Application Auto Scaling, then create scaling policies based on metrics such as CPU utilization, memory utilization, or ALB request count per target. Set minimum and maximum task counts and tune cooldowns."
What is the recommended way to store secrets for an ECS task?,"Store secrets in AWS Secrets Manager or Systems Manager Parameter Store and reference them from the ECS task definition. Grant the task execution role permission to retrieve the secret and avoid putting sensitive values directly in environment variables or images."
How do I grant an EKS pod access to AWS services?,"Use IAM roles for service accounts. Create an IAM role with the needed permissions and trust policy for the cluster OIDC provider, associate it with a Kubernetes service account, and run the pod using that service account."
How can I trace requests through a distributed application with AWS X-Ray?,"Instrument the application with the X-Ray SDK or supported agents, run the X-Ray daemon or use integrated service support, and enable tracing for supported AWS services. Then inspect traces, segments, service maps, and errors in the X-Ray console."
What are best practices for backing up an Amazon RDS database?,"Enable automated backups with an appropriate retention period, create manual snapshots before risky changes, test restores, use Multi-AZ for availability, copy snapshots across regions or accounts when required, and monitor backup status."
How do I restrict public access to an Amazon S3 bucket?,"Enable S3 Block Public Access at the account or bucket level, remove public bucket policies and ACLs, use least-privilege IAM policies, and verify access with IAM Access Analyzer or S3 permissions checks."
What CloudWatch metrics should I monitor for an Application Load Balancer?,"Monitor metrics such as RequestCount, TargetResponseTime, HTTPCode_ELB_5XX_Count, HTTPCode_Target_5XX_Count, HealthyHostCount, UnHealthyHostCount, TargetConnectionErrorCount, and rejected or processed connection metrics."
How do I troubleshoot a Lambda function timing out?,"Check the configured timeout, CloudWatch logs, duration metrics, downstream service latency, VPC networking, retries, and external API calls. Increase the timeout if appropriate, optimize code, add logging, and ensure network paths such as NAT or security groups are configured correctly."
